Release Date,Season,Episode,Episode Title,Name,Sentence
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,The Stony Shore's not far from Torrhen's Square.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Wait outside.
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"I have a proposal for my father. One that will make him king again. And me after him. You may stay at the castle tonight, if you're lucky."
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"Try smiling with your lips closed. . Hmm, better."
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,"With hunting, there's blood at the end."
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,You haven't brought enough men. How am I supposed to defend Winterfell with just this lot?
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",theon greyjoy,"Couldn't resist some northern ass? If you like redheads, ask for Ros."
2015-05-10,Season 5,Episode 5,Kill the Boy,theon greyjoy,You shouldn't be here.
2017-07-30,Season 7,Episode 3,The Queen’s Justice,theon greyjoy,I couldn't save her. I tried.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,I do. Your captain.
2015-04-24,Season 6,Episode 1,The Red Woman,theon greyjoy,I've seen what his hounds do to a person This way is better
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,But how can--
2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.
2013-05-12,Season 3,Episode 7,The Bear and the Maiden Fair,theon greyjoy,Please.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,You'd better get out there. Wouldn't want her to set sail without you.
2015-05-31,Season 5,Episode 8,Hardhome,theon greyjoy,I can't..
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,I'm not killing you. That's your price.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,They are not my people.
2015-05-31,Season 5,Episode 8,Hardhome,theon greyjoy,Not Theon. There is no Theon. Reek.
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,"I will kill that man. I swear to the Drowned God, the Old Gods, the New Gods, to every fucking god in every fucking heaven, I will kill that man."
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I will lead the attack myself.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Like what?
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,He was.
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Lord Stark is gone.
