Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I could try. . What? I've read about it. A bit.,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Lord Commander-,People
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Gilly.,People
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,"I, I wanted to give you something. It belonged to my mother.",Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Please. I want you to. My mother used it for sewing. She'd let me sit with her in her chamber while she sewed and I'd read to her. My father put a stop to it when he found out. It's the only thing I have of hers. She gave it to me before I left for the Wall.,Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,I'm not giving it away. I'm giving it to you.,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Keep it safe for me. Til I come back.,Orders/Demands
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,"Beautiful, isn't it? Gilly would love it here.",People
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,"The Fist of the First Men. Think of how old this place is. Before the Targaryens defeated the Andals, before the Andals took Westeros from the First Men.",Information/Lore
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,"Thousands and thousands of years ago, the First Men stood here where we're standing all through the long night. What do you think they were like, the First Men?",Information/Lore
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,"And three for White Walkers. It's been a thousand years, but that's the only time they blow the horn three times.",Information/Lore
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,Well I read it in a book.,Information/Lore
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,I don't see very well.,Information/Lore
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,"I could take up Jon's duties while he's gone, my lord. It would be no trouble.",Plans/Strategy/Advice
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,I'm not cut out for this sort of work.,Trivial
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,Where do you think Jon is right now?,Information/Lore
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,"He's not dead. No, Jon's a great fighter.",War/Violence
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,He's got a Valyrian steel sword.,War/Violence
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,And Qhorin Halfhand is the greatest ranger alive.,People
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,The First Men made these marks. Help me with it.,Orders/Demands
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,That's a Night's Watch cloak.,Information/Lore
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,Oh. Must be dragonglass.,Information/Lore
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,The maesters call it obsidian.,Information/Lore
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,"If you step back and think about it, the thing about Gilly that's so interesting is",People
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,"No, truly. The thing about her that I find so interesting is that after all that Craster's done to her, she's still got hope that life might get better.",People
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,And the thing about you that I find so interesting is absolutely nothing.,People
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,It's Jon and the Halfhand. They're back.,People
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,Wait! Wait for me!,Orders/Demands
