Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,It won't take more than an hour. But as you please.,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Brothels make a much better investment than ship, I've found. Whores rarely sink.",Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Well, he has more than you, for a start.",Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Does it matter? If you fuck enough women, some of them will give you presents.",Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,He was the King's Hand. Perhaps Robert wanted them looked after. He was overcome with fatherly love.,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"What's the meaning of this, Lannister?",Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,My Lords! I'll bring the City Watch!,Plans/Strategy/Advice
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,Fish. The sigil of House Tully. Isn't that your wife's House - Tully - my Lord Hand?,Politics
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,That sounds like someone we know. The Mountain.,People
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,I've heard him called “Tywin Lannister's mad dog.” I'm sure you have as well. Can you think of any reason the Lannisters might possibly have for being angry with your wife?,People
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,It would be almost as brazen as attacking the Hand of the King in the streets of the capital.,War/Violence
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,"A bold move, my Lord, and admirable. But is it wise to yank the lion's tail? Tywin Lannister is the richest man in all the Seven Kingdoms. Gold wins wars, not soldiers.",Plans/Strategy/Advice
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"No no no no! Is that what they teach you up in the North? And you-- wherever you're from, do you have any idea how ridiculous you sound? Either of you understand a thing that I'm saying?",Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"Let's start over, shall we? You be the man and you be the woman.",Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,I'm saving myself for another.,People
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,A stupid saying.,Trivial
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"No, not really. Impeccable bloodlines though.",People
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,For many years. Most of my life really.,Information/Lore
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Oh no. He got himself killed before the wedding.,War/Violence
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"Oh, everything, my dear. Everything there is.",Information/Lore
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,My Lord protector.,Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,So when the King dies...,Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,So it would seem. Unless...,Trivial
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,And he cannot take the throne without your help.,Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,You are now Hand of the King and Protector of the Realm.,Politics
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"You'll need someone to share these burdens. I assure you, my price would be modest.",Plans/Strategy/Advice
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Only if we lose.,Loyalty/Honour
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,So it will be Stannis and war?,War/Violence
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"So why did you call me here? Not for my wisdom, clearly.",Plans/Strategy/Advice
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Look at you. You know what you want me to do.,Plans/Strategy/Advice
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Now!,Orders/Demands
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,I did warn you not to trust me.,Loyalty/Honour
2011-06-05,Season 1,Episode 8,The Pointy End,petyr baelish,"The girl is innocent, Your Grace.",People
2011-06-05,Season 1,Episode 8,The Pointy End,petyr baelish,"A naked Knight, apparently.",Trivial
2011-06-05,Season 1,Episode 8,The Pointy End,petyr baelish,Do you deny your father's crime?,Loyalty/Honour
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,lt's hard for them to simper and bow without heads.,Plans/Strategy/Advice
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"And what would you do, my friend, if you found yourself sitting up there?",Politics
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,You must be one of the few men in the city who isn't a man.,Trivial
