Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"Oh, they'll understand.",Trivial
2016-06-05,Season 6,Episode 7,The Broken Man,theon greyjoy,Some bad years?,Trivial
2016-06-19,Season 6,Episode 9,Battle of the Bastards,theon greyjoy,It was a long time ago.,Trivial
2016-06-26,Season 6,Episode 10,The Winds of Winter,sam tarly,Hello.,Trivial
2017-07-16,Season 7,Episode 1,Dragonstone,sam tarly,No.,Trivial
2017-07-16,Season 7,Episode 1,Dragonstone,sam tarly,The dead don't.,Trivial
2017-07-16,Season 7,Episode 1,Dragonstone,sam tarly,Who?,Trivial
2017-07-16,Season 7,Episode 1,Dragonstone,sam tarly,Haven't heard anything.,Trivial
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,No.,Trivial
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,Oh.,Trivial
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,Hello.,Trivial
2017-07-23,Season 7,Episode 2,Stormborn,theon greyjoy,It's fine.,Trivial
2017-07-30,Season 7,Episode 3,The Queen’s Justice,petyr baelish,I only meant to say --,Trivial
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,flips the knife in his hand and extends it towards BRAN.,Trivial
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,hands the sheath of the knife to BRAN. BRAN slides the knife into the sheath.,Trivial
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,stands up to leave.,Trivial
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,bows and walks past Meera and closes the door.,Trivial
2017-08-06,Season 7,Episode 4,The Spoils Of War,theon greyjoy,"GREYJOY and other Iron Born are pulling their landing boat onto the beach wading through the surf. They pull the boat onto the sand. JON SNOW, MISSANDEI, DAVOS and Dothraki guards are waiting to meet them. JON sees THEON and both men freeze and stare at each other. JON steps forward towards THEON.",Trivial
2017-08-06,Season 7,Episode 4,The Spoils Of War,theon greyjoy,steps closer to JON.,Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,petyr baelish,reads the note then looks at WOLKAN.,Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,stops working and turns around.,Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,steps forward and clears his throat.,Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,turns to collect his work and leave. The maesters begin talking to one another.,Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,is seated at a table surround by papers and candles. He is writing notes into a book. Gilly is seated across from him reading aloud from a tome. SAM JR. is playing on the bed.,Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,No.,Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,looks up from his work annoyed. He remains silent and continues working.,Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,looks away and pauses.,Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,isn't paying much attention to GILLY. He loudly interrupts her.,Trivial
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,is dismayed. He sets his quill down and grabs the book he was writing in and hands it to SAM Jr. He retrieves his cloak and walks out the door.,Trivial
