Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,Nothing like the sight of a woman walking away.,People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,You were with her? How many times?,People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"Oh, oh. Right. I'm sorry. I just wanted to make sure you weren't hurt. .",People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,You were cruel.,People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I didn't touch her!,People
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"Quit talking about your father. He's right about us. Our wives from the Iron Islands, they're for breeding. That's not enough for us. That's why we take saltwives, from the women we capture.",People
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Lord Stark is gone.,People
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Yara?,People
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"I don't appreciate being made a fool of, dwarf. If Myrcella marries the Martell boy, she can't very well marry Robin Arryn, can she?",People
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Lord Commander-,People
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Gilly.,People
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,Recognize you? How could I? The last time I saw you- you looked like a fat little boy.,People
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,"What do you know of it, woman? I'm a proven warrior.",People
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Do you want to see your girls again? Sansa, more beautiful than ever? And Arya, just as wild as ever?",People
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"My lord, my lady.",People
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,Stannis.,People
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,sam tarly,"Beautiful, isn't it? Gilly would love it here.",People
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,You're the crew of the Sea Bitch? I'm your commander. Welcome.,People
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,Who are you?,People
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"Yes, she does.",People
