Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,"You wouldn't risk a single Lannister soldier or a single coin from the Royal Treasury. What do you have to lose, a brothel keeper?",Politics
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,Name me Warden of the North.,Politics
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,"Safe travels, Lord Commander.",Politics
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,"His little brother, Aegon. He became king.",Politics
2015-06-14,Season 5,Episode 10,Mother’s Mercy,sam tarly,You were friends with me when I first got here. And I wasn't winning any elections back then.,Politics
2016-05-15,Season 6,Episode 4,Book of the Stranger,petyr baelish,My lord Come and see,Politics
2016-05-15,Season 6,Episode 4,Book of the Stranger,petyr baelish,I missed your name day Go on,Politics
2016-05-15,Season 6,Episode 4,Book of the Stranger,theon greyjoy,I don't want to be king.,Politics
2016-05-15,Season 6,Episode 4,Book of the Stranger,theon greyjoy,You should rule the Iron Islands. Let me help you.,Politics
2016-05-22,Season 6,Episode 5,The Door,theon greyjoy,"And she is your rightful ruler. Those of you that have sailed under her, and there are many of you here, you know what she is.",Politics
2016-05-22,Season 6,Episode 5,The Door,theon greyjoy,We will find no better leader. This is our queen.,Politics
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,I travelled south under orders from the Lord Commander. He wants me to- -,Politics
2016-06-19,Season 6,Episode 9,Battle of the Bastards,theon greyjoy,Not my claim. Hers.,Politics
2016-06-19,Season 6,Episode 9,Battle of the Bastards,theon greyjoy,I'm not fit to rule.,Politics
2016-06-19,Season 6,Episode 9,Battle of the Bastards,theon greyjoy,There are and Euron is building more. He's going to offer them to you.,Politics
2016-06-19,Season 6,Episode 9,Battle of the Bastards,theon greyjoy,The Iron Fleet isn't all he's bringing. He also wants to give you --,Politics
2016-06-26,Season 6,Episode 10,The Winds of Winter,sam tarly,From Lord Commander Snow at Castle Black.,Politics
2016-06-26,Season 6,Episode 10,The Winds of Winter,sam tarly,I'm-- I'm to be the new maester.,Politics
2016-06-26,Season 6,Episode 10,The Winds of Winter,sam tarly,Maester Aemon became quite ill shortly after the election. He's since passed away. Which is why I'm here.,Politics
2016-06-26,Season 6,Episode 10,The Winds of Winter,sam tarly,"Yes, well, I suppose that life is irregular.",Politics
2017-07-23,Season 7,Episode 2,Stormborn,petyr baelish,"I was sorry when he died. Your father and I had our differences but he loved Cat very much. So did I. She wasn't fond of you, was she? Well, it appears she vastly underestimated you. Your father and brothers are gone, yet here you stand King in the North. Last best hope against the coming storm.",Politics
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,"I'm sorry to have disturbed you, Lord Stark.",Politics
2017-08-06,Season 7,Episode 4,The Spoils Of War,theon greyjoy,Euron has her. I came to ask the queen to help get her back.,Politics
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,I can't believe he'd surrender the Northern crown without consulting you.,Politics
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,"An alliance makes sense. Together, they'd be difficult to defeat. He was named King.",Politics
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,"Um. Which man am I, Your Grace?",Politics
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,"Well At least I'll be allowed home again, now that my brother's the lord.",Politics
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,"Hm. Thank you, Your Grace. For telling me. And m- may I?",Politics
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,I'm not talking about the King in the North. I'm talking about the King of the bloody Seven Kingdoms.,Politics
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,"And your father- your real father was Rhaegar Targaryen. You've never been a bastard. You're Aegon Targaryen, true heir to the Iron Throne. I'm sorry, I know it's a lot to take in.",Politics
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,"No. Your father- Well, Ned Stark. He promised your mother he'd always protect you. And he did. Robert would have murdered you if he knew. You're the true king. Aegon Targaryen, Sixth of His Name, Protector of the Realm, all of it.",Politics
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,She shouldn't be.,Politics
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,theon greyjoy,My queen.,Politics
2019-05-19,Season 8,Episode 6,The Iron Throne,sam tarly,"Um- We represent all the great houses, but whomever we choose, they won't just rule over lords and ladies. Maybe the decision about what's best for everyone should be left to well, everyone.",Politics
2019-05-19,Season 8,Episode 6,The Iron Throne,sam tarly,Your Grace.,Politics
2019-05-19,Season 8,Episode 6,The Iron Throne,sam tarly,Long may he reign.,Politics
