Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Cat, I've I've loved you since I was a boy. It seems to me that fate has given us this chance",Orders/Demands
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"Tell me, Ser Loras, what do you desire most in this world?",Orders/Demands
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,Stop. Stop! Your captain commands you to stop!,Orders/Demands
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,Take me to my ship.,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Find the halfwit.,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,My men are bringing your people together in the courtyard.,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"Yes, you will.",Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Louder. Say Prince Theon.,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"Listen to your little lord, Farlen. He has more sense than you do.",Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,I see you've finally learned how to address your betters. What do you want? I was brought here a captive.,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,So you can bury it in my neck? Do you take me for a fool? Get up.,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,You'll all go about your tasks as usual. And in a few days' time-,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Take him to the cells. Lock him up,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,You'll address me as Prince Theon or you'll be next.,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"You don't give commands anymore, little lord.",Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,How? And don't tell me to put a spear in your hand.,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Wait outside.,Orders/Demands
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"What do you want then, other than your miserable life?",Orders/Demands
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,Right. Get the horses and the hounds.,Orders/Demands
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,Try again.,Orders/Demands
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,Where are they?,Orders/Demands
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,The Stark boys. Where are they?,Orders/Demands
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,Think harder.,Orders/Demands
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,Go back to Winterfell. Take him back.,Orders/Demands
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,The First Men made these marks. Help me with it.,Orders/Demands
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,Don't call me,Orders/Demands
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,I'm warning you.,Orders/Demands
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,Wait! Wait for me!,Orders/Demands
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,Grenn!,Orders/Demands
2012-06-03,Season 2,Episode 10,Valar Morghulis,sam tarly,Edd!,Orders/Demands
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,Send more ravens.,Orders/Demands
2013-03-31,Season 3,Episode 1,Valar Dohaeris,petyr baelish,Might I speak with Lady Sansa alone for a moment?,Orders/Demands
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",sam tarly,No.,Orders/Demands
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",sam tarly,I can't.,Orders/Demands
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,Where am I? Who are you? What do you want?,Orders/Demands
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,Stop! Stop!,Orders/Demands
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,Please.,Orders/Demands
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,"I'll tell you anything. Just take it off. Please. Please, just take it off.",Orders/Demands
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,"No, don't go. Please, please. No, please don't leave me. Please, please. Please, please don't go! Please. Please. Don't leave me. Please don't go.",Orders/Demands
2013-04-14,Season 3,Episode 3,Walk of Punishment,theon greyjoy,"No! No! No, no, no!",Orders/Demands
2013-04-14,Season 3,Episode 3,Walk of Punishment,theon greyjoy,"No, please! No, no, no! No, don't!",Orders/Demands
2013-04-14,Season 3,Episode 3,Walk of Punishment,theon greyjoy,"No, please! No! No!",Orders/Demands
