Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,Long may he reign. My king.,Loyalty/Honour
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,But we're your brothers now.,Loyalty/Honour
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,Hear my words and bear witness to my vow,Loyalty/Honour
2011-06-19,Season 1,Episode 10,Fire and Blood,theon greyjoy,"Am l your brother, now and always?",Loyalty/Honour
2011-06-19,Season 1,Episode 10,Fire and Blood,theon greyjoy,"My sword is yours in victory and defeat, from this day until my last day.",Loyalty/Honour
2012-04-01,Season 2,Episode 1,The North Remembers,theon greyjoy,"Men who fought King Robert to free themselves from the yoke of the South, just like you're doing now. I'm his only living son. He'll listen to me. I know he will. I'm not a Stark. I know that. But your father raised me to be an honorable man. We can avenge him together.",Loyalty/Honour
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"The Lord Commander, , we are sworn to protect -",Loyalty/Honour
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"I've lived with him, hunted with him, fought at his side, he thinks of me as a brother.",Loyalty/Honour
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I forget nothing. I remember my brothers. And I remember when my father was a king.,Loyalty/Honour
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I'm your son. Your only living heir. Who else?,Loyalty/Honour
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,"You act as if I volunteered to go. You gave me away, if you remember. The day you bent the knee to Robert Baratheon. After he crushed you. Did you take what was yours then?",Loyalty/Honour
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,You gave me away!,Loyalty/Honour
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,Your boy! Your last boy! You gave me away like I was some dog you didn't want anymore. And now you curse me because I've come home.,Loyalty/Honour
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,I have no other family.,Loyalty/Honour
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,And who would you have me be loyal to? Your brother's corpse?,Loyalty/Honour
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"And on the night of your wedding, who was by the king's side then?",Loyalty/Honour
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Betrayed? I wanted him to serve as Protector of the Realm. I begged him to seize the moment.,Loyalty/Honour
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Your husband was an honorable man. He should rest beside his family in the crypts beneath Winterfell. You may not believe,Loyalty/Honour
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,And yet that's the task my father has given me to prove that I'm a true Iron Islander.,Loyalty/Honour
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"They did. And perhaps that treason should be punished one day, after Stannis and Robb Stark are defeated.",Loyalty/Honour
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,And he sent me back to Pyke. I'm a Greyjoy. I can't fight for Robb and my father both. Where's Hodor?,Loyalty/Honour
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"If you serve me as loyally as you served Ned Stark, I will be as good to you as he ever was. Betray me, and you will wish you hadn't. Maester Luwin, send a raven to Pyke informing my father of my victory here. And one to Deepwood Motte to my sister. Inform her that she's to bring You are a maester of the Citadel, sworn to serve the Lord of Winterfell, are you not?",Loyalty/Honour
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"He disrespected me in front of my men. That was his decision, not mine.",Loyalty/Honour
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Why on earth would I trust the word of a lying little savage like you?,Loyalty/Honour
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,All wildlings are liars and savages with no loyalty to anything or anyone.,Loyalty/Honour
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"Well, you shall have it, then. But only if you serve me well.",Loyalty/Honour
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,I told you what would happen. All of you. I told you what would happen if you served me loyally. And what would happen if you did not.,Loyalty/Honour
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,"I treated the Stark boys with honor, and they repaid me with treachery.",Loyalty/Honour
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,They made me a promise,Loyalty/Honour
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,Gold for the farmer. For his trouble.,Loyalty/Honour
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,"You honor me beyond words, Your Grace. I shall have to acquire some sons and grandsons.",Loyalty/Honour
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,"He'll let you go home? Joffrey's not the sort of boy who gives away his toys. You have a tender heart, just like your mother did at your age. I can see so much of her in you. She was like a sister to me. For her sake, I'll help get you home.",Loyalty/Honour
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,"And what's your counsel, trusted friend?",Loyalty/Honour
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,You may be right. But I've gone too far to pretend to be anything else.,Loyalty/Honour
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,Mothers will name their sons for us.,Loyalty/Honour
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,Girls will think of us with their lovers inside them.,Loyalty/Honour
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,What is dead may never die!,Loyalty/Honour
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",sam tarly,You don't care.,Loyalty/Honour
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",sam tarly,"You left me. When the white walkers came, you left me.",Loyalty/Honour
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,I took it to bring glory to my house and my father.,Loyalty/Honour
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,If only. I owe you a significant debt. Our redheaded friend. You secured her release when the queen detained her.,Loyalty/Honour
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,I shall do my best.,Loyalty/Honour
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,I assure you that it will.,Loyalty/Honour
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,"I hope you know that I'm your friend, Sansa. Your true friend.",Loyalty/Honour
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,You swore to tell me if I-,Loyalty/Honour
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,Lord Rickard Karstark is Robb Stark's bannerman. I betrayed Robb. That's why you're torturing me.,Loyalty/Honour
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"I'd be dead if it wasn't for Jon. If you're his brother, you're my brother, too. And anything I can do to help you, I will.",Loyalty/Honour
2014-04-20,Season 4,Episode 3,Breaker of Chains,petyr baelish,"Yes, and he gave you a priceless necklace that once belonged to his grandmother. The last legacy of House Hollard.",Loyalty/Honour
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,They all think I'm lying.,Loyalty/Honour
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,What about me? Gilly? I worry about you.,Loyalty/Honour
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,I promise to come back and visit whenever I can. You'll be safer here. Who's gonna protect you at Castle Black? Me?,Loyalty/Honour
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"This is different. They're brothers of the Night's Watch and I can't just stab them in the back and I can't run away, which is what we did at Craster's.",Loyalty/Honour
2014-04-27,Season 4,Episode 4,Oathkeeper,petyr baelish,"Everything. My friendship with the Lannisters was productive. But Joffrey, a vicious boy with a crown on his head, is not a reliable ally. And who could trust a friend like that?",Loyalty/Honour
2014-04-27,Season 4,Episode 4,Oathkeeper,sam tarly,I remember when you disobeyed orders and rode south to help Robb.,Loyalty/Honour
2014-05-18,Season 4,Episode 7,Mockingbird,petyr baelish,"I loved your mother more than you could ever know. Given the opportunity, what do we do to those who've hurt the ones we love? In a better world, one where love could overcome strength and duty, you might have been my child. But we don't live in that world.",Loyalty/Honour
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,I'm not leaving you!,Loyalty/Honour
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Help my brothers.,Loyalty/Honour
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,I can't just hide here with you while they're fighting out there.,Loyalty/Honour
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"Look. I am a man of the Night's Watch, Gilly. I made a promise to defend The Wall and I have to keep it, because that's what men do.",Loyalty/Honour
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,I promise you I won't die.,Loyalty/Honour
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"Woah! It's me. It's me. I promised you, didn't I?",Loyalty/Honour
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,We held them off.,Loyalty/Honour
2015-04-12,Season 5,Episode 1,The Wars to Come,petyr baelish,"No. But I pay them well, and they've seen what happens to men who disappoint me.",Loyalty/Honour
2015-04-12,Season 5,Episode 1,The Wars to Come,sam tarly,"I told you. Wherever you go, I go, too.",Loyalty/Honour
2015-04-19,Season 5,Episode 2,The House of Black and White,petyr baelish,"We've met. With Renly Baratheon. What did he say about you? He said, ""You're a loyalty comes free of charge."" Someone appears to have paid quite a bit for it since then.",Loyalty/Honour
2015-04-19,Season 5,Episode 2,The House of Black and White,petyr baelish,A shadow? With a face? This woman swore to protect Renly; she failed. She swore to protect your mother; she failed. Why would I want somebody with your history of failure guiding Lady Sansa?,Loyalty/Honour
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,You deserve this. You do. I couldn't be happier for you.,Loyalty/Honour
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,He did.,Loyalty/Honour
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,Winterfell is your home.,Loyalty/Honour
2015-04-26,Season 5,Episode 3,High Sparrow,sam tarly,He apologizes for not being here. He's not feeling well.,Loyalty/Honour
2015-05-10,Season 5,Episode 5,Kill the Boy,theon greyjoy,"Yes. I'm sorry, master. Forgive me. I didn't think -",Loyalty/Honour
2015-05-10,Season 5,Episode 5,Kill the Boy,theon greyjoy,"Yes, master.",Loyalty/Honour
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,That's quite a family to abandon.,Loyalty/Honour
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,"There is another matter, your Grace. Something so urgent I couldn't trust the words to a raven. You once charged me with finding Arya Stark. To my shame I failed you. But I have found Sansa Stark. Alive, and well, and home again. In Winterfell.",Loyalty/Honour
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,I'll not rest until the lion flies over Winterfell.,Loyalty/Honour
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,As I said. I live to serve.,Loyalty/Honour
2015-05-24,Season 5,Episode 7,The Gift,petyr baelish,I'm sorry about the locale.,Loyalty/Honour
2015-05-24,Season 5,Episode 7,The Gift,petyr baelish,I promise you..,Loyalty/Honour
2015-05-24,Season 5,Episode 7,The Gift,petyr baelish,Cersei summoned me to King's Landing. I dared not refuse her.,Loyalty/Honour
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,I'll stay too. He's always been good to me. I can't leave him now.,Loyalty/Honour
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,What kind of man would I be if I ran away when I saw someone hurting you?,Loyalty/Honour
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,"Of course I will. And I'll take care of you, too.",Loyalty/Honour
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,With all my heart.,Loyalty/Honour
2015-05-31,Season 5,Episode 8,Hardhome,theon greyjoy,"They weren't “those boys”, they were Bran and Rickon. They were your brothers, you'd know them since they were born.",Loyalty/Honour
2015-05-31,Season 5,Episode 8,Hardhome,theon greyjoy,"I can't, not unless the master says...",Loyalty/Honour
2015-05-31,Season 5,Episode 8,Hardhome,theon greyjoy,I can't talk to you anymore.,Loyalty/Honour
2015-06-07,Season 5,Episode 9,The Dance of Dragons,sam tarly,"You didn't fail him, or him, or her. Every one of them is alive because of you, and no one else.",Loyalty/Honour
2016-05-01,Season 6,Episode 2,Home,theon greyjoy,I would have taken you all the way to the Wall I would have died to get you there,Loyalty/Honour
2016-05-08,Season 6,Episode 3,Oathbreaker,sam tarly,"I don't care about them Well, no, I do, but I don't really I care about you and him",Loyalty/Honour
2016-05-15,Season 6,Episode 4,Book of the Stranger,petyr baelish,Your home is the Vale The Lord of the Vale stands before us And only his judgment concerns me,Loyalty/Honour
2016-05-15,Season 6,Episode 4,Book of the Stranger,petyr baelish,"Lord Royce has served the Vale well He;s enjoyed a distinguished military career If we could trust his absolute loyalty, he would make a capable commander in the wars to come",Loyalty/Honour
2016-05-15,Season 6,Episode 4,Book of the Stranger,petyr baelish,I think he deserves one more chance What do you say?,Loyalty/Honour
2016-05-15,Season 6,Episode 4,Book of the Stranger,theon greyjoy,I know. I know and I'm sorry.,Loyalty/Honour
2016-05-15,Season 6,Episode 4,Book of the Stranger,theon greyjoy,I shouldo ve listened to you. You're the only one --,Loyalty/Honour
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,I'm so sorry.,Loyalty/Honour
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,And I will. You must believe me when I tell you that I will.,Loyalty/Honour
2016-05-22,Season 6,Episode 5,The Door,theon greyjoy,You were gone. Yara was here. Being Ironborn. Leading Ironborn. Getting ready to bring us back to glory.,Loyalty/Honour
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,I'm sorry I let him treat you that way. I was afraid he'd turn you and Little Sam away.,Loyalty/Honour
